"Qty","Value","Device","Package","Parts","Description",""
"2","","JP2E","JP2","JP1, JP2","JUMPER",""
"1","","M161X16_NO_SILK","1X16_NO_SILK","J2","1x16 .1" header",""
"1","","SJ","SJ","SJ2","SMD solder JUMPER",""
"1","","SJ2W","SJ_2","SJ1","SMD solder JUMPER",""
"1","","SJ2_C","SJ_2_C","SJ4","SMD solder JUMPER",""
"1","","SJ_C","SJ_C","SJ3","SMD solder JUMPER",""
"1",".1uF","C-EUC0603K","C0603K","C13","CAPACITOR, European symbol",""
"1","0.1uF","C-EUC0603K","C0603K","C15","CAPACITOR, European symbol",""
"1","0.1uF","C-USC0603K","C0603K","C2","CAPACITOR, American symbol",""
"1","100K : ERJ-6ENF1003V","ERJ-6ENF1003V","0805","R3","",""
"4","10K","R-US_R0603","R0603","R6, R7, R9, R12","RESISTOR, American symbol",""
"1","10pF","C-EUC0603","C0603","C9","CAPACITOR, European symbol",""
"1","10uF","C-USC0805","C0805","C3","CAPACITOR, American symbol",""
"1","10uF: TMK316BJ106KL-T","TMK316BJ106KL-T","1206","C7","",""
"1","12K ±1%","R-US_R0603","R0603","R1","RESISTOR, American symbol",""
"1","1uF","C-EUC0603K","C0603K","C14","CAPACITOR, European symbol",""
"1","1uF","C-USC0603","C0603","C1","CAPACITOR, American symbol",""
"1","2.2uH: IHLP1212BZER2R2M11","IHLP1212BZER2R2M11","IHLP-1212BZ","L1","",""
"1","200","R-US_R0603","R0603","R2","RESISTOR, American symbol",""
"1","22-23-2031","22-23-2031","22-23-2031","J4",".100" (2.54mm) Center Header - 3 Pin",""
"1","22pF","C-EUC0603","C0603","C8","CAPACITOR, European symbol",""
"1","22uF: GRM21BR60J226ME39L","GRM21BR60J226ME39L","0805","C6","",""
"2","27","R-US_R0603","R0603","R10, R11","RESISTOR, American symbol",""
"6","270","R-US_R0603","R0603","R4, R5, R8, R13, R14, R15","RESISTOR, American symbol",""
"1","390pF: CC0805KRX7R9BB391","CC0805KRX7R9BB391","0805","C5","",""
"2","47pF","C-EUC0603K","C0603K","C16, C17","CAPACITOR, European symbol",""
"1","5.6pF","C-EUC0603","C0603","C4","CAPACITOR, European symbol",""
"1","51387-0578","USB","USB-MINIB-0513870578","J1","USB Connectors",""
"1","BLUE","LEDCHIPLED_0603","CHIPLED_0603","D1","LED",""
"1","Color?","LEDCHIPLED_0603","CHIPLED_0603","D4","LED",""
"1","ESP8266","ESP8266","HVQFN32","U1","",""
"1","FA-20H","FA-20H","FA-20H","Q1","MHz RANGE CRYSTAL UNIT",""
"1","FT231XS-R","FT231XS","SSOP20_L","U4","FTDI FT231X Full Speed USB to Full-handshake UART",""
"1","GREEN","LEDCHIPLED_0603","CHIPLED_0603","D3","LED",""
"1","MPZ1608S221ATA00","INDUCTOR0603","0603","L3","Inductors",""
"1","PTS645SM43SMTR92DEFAULT","PTS645SM43SMTR92DEFAULT","PTS645SM43SMTR92","SW1","",""
"1","PTSA_250_16","PTSA_250_16","PTSA_250_16_F","J3","",""
"1","RED","LEDCHIPLED_0603","CHIPLED_0603","D2","LED",""
"1","TPS62152RGTR","TPS62152RGTR","S-PVQFN-N16","U2","",""
"1","W25Q32FVSS","W25Q32FVSS","SOIC-8","U3","Winbond W25Q32FV 32Mbit (4MB) Flash",""
"1","WIFI_ANT_ESP8266","WIFI_ANT_ESP8266","ESP8266_ANT","ANT1","",""
